img,act_class,act_name
041741100.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
022210781.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
011986537.jpg,occupation,horse grooming feeding cleaning harnessing and unharnessing
033761517.jpg,conditioning exercise,video exercise workouts TV conditioning programs
094290970.jpg,conditioning exercise,video exercise workouts TV conditioning programs
032320293.jpg,conditioning exercise,video exercise workouts TV conditioning programs
051879062.jpg,conditioning exercise,video exercise workouts TV conditioning programs
070301896.jpg,conditioning exercise,video exercise workouts TV conditioning programs
036362960.jpg,conditioning exercise,video exercise workouts TV conditioning programs
097178208.jpg,conditioning exercise,video exercise workouts TV conditioning programs
096244729.jpg,conditioning exercise,video exercise workouts TV conditioning programs
025178230.jpg,bicycling,bicycling general
049724851.jpg,bicycling,bicycling general
030087831.jpg,bicycling,bicycling general
028484049.jpg,conditioning exercise,video exercise workouts TV conditioning programs
003688695.jpg,conditioning exercise,video exercise workouts TV conditioning programs
060956433.jpg,conditioning exercise,video exercise workouts TV conditioning programs
050267902.jpg,conditioning exercise,video exercise workouts TV conditioning programs
005147875.jpg,conditioning exercise,video exercise workouts TV conditioning programs
027864646.jpg,conditioning exercise,video exercise workouts TV conditioning programs
090826589.jpg,conditioning exercise,video exercise workouts TV conditioning programs
023956189.jpg,sports,hacky sack
014489487.jpg,sports,hacky sack
048945276.jpg,sports,hacky sack
098565045.jpg,sports,hacky sack
024205527.jpg,sports,hacky sack
067213555.jpg,sports,hacky sack
076161962.jpg,sports,hacky sack
023763754.jpg,sports,hacky sack
072821635.jpg,sports,hacky sack
036778313.jpg,,
063230583.jpg,,
063352971.jpg,,
053577468.jpg,,
009028977.jpg,,
083530250.jpg,,
032078006.jpg,sports,hacky sack
018651851.jpg,sports,hacky sack
004077514.jpg,sports,hacky sack
059089294.jpg,,
067756436.jpg,,
001658783.jpg,,
051209306.jpg,sports,hacky sack
022649578.jpg,sports,hacky sack
064517279.jpg,lawn and garden,shoveling snow by hand
017436643.jpg,lawn and garden,shoveling snow by hand
069093774.jpg,lawn and garden,shoveling snow by hand
038673535.jpg,lawn and garden,shoveling snow by hand
093672999.jpg,lawn and garden,shoveling snow by hand
013752094.jpg,lawn and garden,shoveling snow by hand
034106635.jpg,lawn and garden,shoveling snow by hand
011347352.jpg,lawn and garden,shoveling snow by hand
092469362.jpg,,
087733935.jpg,,
025794163.jpg,,
065998405.jpg,,
081722220.jpg,,
055520081.jpg,,
052965058.jpg,fishing and hunting,fishing general
024185229.jpg,fishing and hunting,fishing general
009310277.jpg,fishing and hunting,fishing general
089721576.jpg,fishing and hunting,fishing general
090041806.jpg,fishing and hunting,fishing general
063310146.jpg,fishing and hunting,fishing general
033902979.jpg,,
034920957.jpg,,
072595568.jpg,,
089711026.jpg,,
088708642.jpg,,
077987555.jpg,,
064203165.jpg,,
008413996.jpg,,
016162871.jpg,,
089855419.jpg,,
060642906.jpg,,
000919705.jpg,,
010147154.jpg,home activities,ironing
066350177.jpg,home activities,ironing
000506158.jpg,home activities,ironing
016080805.jpg,home activities,ironing
054873379.jpg,home activities,ironing
069189520.jpg,home activities,ironing
065196126.jpg,home activities,ironing
022426931.jpg,home activities,ironing
071217922.jpg,home activities,ironing
023724909.jpg,home activities,ironing
032539970.jpg,home activities,ironing
074649141.jpg,home activities,ironing
064963290.jpg,home activities,ironing
084922341.jpg,dancing,ballroom
065761289.jpg,dancing,ballroom
056830860.jpg,dancing,ballroom
009367477.jpg,dancing,ballroom
036771580.jpg,dancing,ballroom
026520237.jpg,dancing,ballroom
024398964.jpg,dancing,ballroom
097301055.jpg,dancing,ballroom
039309772.jpg,dancing,ballroom
089204656.jpg,,
063113863.jpg,dancing,ballroom
079481130.jpg,dancing,ballroom
050263709.jpg,dancing,ballroom
057690388.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
049251769.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
019524299.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
072245212.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
028077236.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
002431597.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
064547230.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
017711068.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
094045858.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
095392858.jpg,,
091486439.jpg,,
037015870.jpg,,
001545662.jpg,,
092831856.jpg,,
042818415.jpg,,
096665482.jpg,,
096361998.jpg,,
085300946.jpg,,
029444889.jpg,,
038509773.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
085113667.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
031692201.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
016949275.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
055680126.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
093615477.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
069602980.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
057006117.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
009717649.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
061500723.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
099005385.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
014008402.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
051832965.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
087737307.jpg,conditioning exercise,therapeutic exercise ball Fitball exercise
074076862.jpg,miscellaneous,standing arts and crafts sand painting carving weaving
069701574.jpg,miscellaneous,standing arts and crafts sand painting carving weaving
070248408.jpg,miscellaneous,standing arts and crafts sand painting carving weaving
035949115.jpg,miscellaneous,standing arts and crafts sand painting carving weaving
029359184.jpg,sports,volleyball indoor
080936116.jpg,sports,volleyball indoor
081011339.jpg,sports,volleyball indoor
086707232.jpg,sports,volleyball indoor
091324055.jpg,sports,volleyball indoor
051134240.jpg,sports,volleyball indoor
050151629.jpg,sports,rock climbing
079829518.jpg,sports,rock climbing
064996393.jpg,sports,rock climbing
070196688.jpg,sports,gymnastics general
079579267.jpg,sports,gymnastics general
089000534.jpg,,
033799516.jpg,,
037558295.jpg,,
009398194.jpg,,
057828014.jpg,sports,basketball game (Taylor Code 490)
003594227.jpg,,
046559802.jpg,sports,basketball
054264463.jpg,sports,basketball
028654125.jpg,sports,basketball
059083326.jpg,sports,basketball
003050025.jpg,fishing and hunting,fishing general
003734819.jpg,fishing and hunting,fishing general
082260056.jpg,,
036019064.jpg,,
012706051.jpg,,
052224326.jpg,,
076999355.jpg,fishing and hunting,hunting bow and arrow or crossbow
021582103.jpg,fishing and hunting,hunting bow and arrow or crossbow
062289048.jpg,fishing and hunting,hunting bow and arrow or crossbow
008534746.jpg,fishing and hunting,hunting bow and arrow or crossbow
005168172.jpg,fishing and hunting,hunting bow and arrow or crossbow
053135463.jpg,fishing and hunting,hunting bow and arrow or crossbow
054063512.jpg,fishing and hunting,hunting bow and arrow or crossbow
063742990.jpg,fishing and hunting,hunting bow and arrow or crossbow
072609133.jpg,fishing and hunting,hunting bow and arrow or crossbow
097585208.jpg,fishing and hunting,hunting bow and arrow or crossbow
051630035.jpg,fishing and hunting,hunting bow and arrow or crossbow
032295647.jpg,,
079518619.jpg,lawn and garden,laying crushed rock
027083225.jpg,lawn and garden,laying crushed rock
043897142.jpg,lawn and garden,laying crushed rock
007845638.jpg,lawn and garden,laying crushed rock
002535074.jpg,miscellaneous,standing talking in person
096264841.jpg,lawn and garden,laying crushed rock
083598012.jpg,lawn and garden,laying crushed rock
069597421.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
040895294.jpg,miscellaneous,standing talking in person
017329432.jpg,miscellaneous,standing talking in person
015643704.jpg,water activities,kayaking moderate effort
025024290.jpg,water activities,kayaking moderate effort
054922666.jpg,water activities,kayaking moderate effort
071459592.jpg,water activities,kayaking moderate effort
066019738.jpg,water activities,kayaking moderate effort
027993390.jpg,,
095486528.jpg,,
073789692.jpg,water activities,kayaking moderate effort
055435405.jpg,water activities,kayaking moderate effort
061172075.jpg,water activities,swimming sidestroke general
041960006.jpg,water activities,swimming sidestroke general
024773099.jpg,water activities,swimming sidestroke general
035597268.jpg,,
075784611.jpg,,
001439349.jpg,water activities,swimming sidestroke general
011607264.jpg,water activities,swimming sidestroke general
004600264.jpg,walking,marching military no pack
004072880.jpg,walking,marching military no pack
085546058.jpg,,
070365786.jpg,,
047417383.jpg,water activities,tubing floating on a river general
009783416.jpg,water activities,tubing floating on a river general
049161588.jpg,,
047347177.jpg,,
017320187.jpg,water activities,whitewater rafting kayaking or canoeing
043385165.jpg,water activities,whitewater rafting kayaking or canoeing
039850473.jpg,bicycling,bicycling racing and road
061585010.jpg,bicycling,bicycling mountain
063509365.jpg,bicycling,bicycling mountain
004530401.jpg,bicycling,bicycling racing and road
037461261.jpg,bicycling,bicycling racing and road
062585992.jpg,bicycling,bicycling racing and road
050313626.jpg,,
085648984.jpg,bicycling,bicycling racing and road
065869363.jpg,bicycling,bicycling racing and road
016293443.jpg,bicycling,bicycling racing and road
007056875.jpg,bicycling,bicycling racing and road
064241928.jpg,bicycling,bicycling racing and road
002651131.jpg,bicycling,bicycling racing and road
058577558.jpg,bicycling,bicycling racing and road
094023024.jpg,water activities,water aerobics water calisthenics
057547418.jpg,water activities,water aerobics water calisthenics
038816993.jpg,,
064328822.jpg,,
045825289.jpg,,
054561679.jpg,,
094146481.jpg,,
038610264.jpg,,
096119056.jpg,sports,football or baseball playing catch
090535064.jpg,sports,football or baseball playing catch
019579113.jpg,sports,soccer
006936130.jpg,,
010077800.jpg,,
001822183.jpg,,
009444296.jpg,winter activities,dog sledding
068300677.jpg,winter activities,dog sledding
007118865.jpg,winter activities,dog sledding
031897563.jpg,winter activities,dog sledding
084487531.jpg,winter activities,dog sledding
002327194.jpg,winter activities,dog sledding
081446848.jpg,winter activities,dog sledding
028185477.jpg,winter activities,dog sledding
011816483.jpg,winter activities,dog sledding
069673717.jpg,winter activities,dog sledding
062894285.jpg,winter activities,dog sledding
087747201.jpg,winter activities,dog sledding
073507104.jpg,winter activities,dog sledding
080348093.jpg,winter activities,dog sledding
028203457.jpg,walking,backpacking
017743954.jpg,walking,backpacking
075061475.jpg,,
080683474.jpg,,
099050514.jpg,sports,orienteering
041261768.jpg,sports,orienteering
037201809.jpg,,
077641296.jpg,sports,orienteering
034080354.jpg,sports,orienteering
093075733.jpg,sports,orienteering
085841275.jpg,sports,orienteering
042899403.jpg,sports,orienteering
075087107.jpg,sports,orienteering
075454287.jpg,,
010312387.jpg,,
090255291.jpg,sports,orienteering
050525237.jpg,sports,orienteering
082645747.jpg,miscellaneous,standing miscellaneous
032004960.jpg,,
089552323.jpg,,
038920168.jpg,,
001083765.jpg,conditioning exercise,video exercise workouts TV conditioning programs
090538198.jpg,conditioning exercise,video exercise workouts TV conditioning programs
009128668.jpg,conditioning exercise,video exercise workouts TV conditioning programs
031931364.jpg,conditioning exercise,video exercise workouts TV conditioning programs
095006197.jpg,,
095060715.jpg,,
057343789.jpg,,
063183721.jpg,,
044844552.jpg,miscellaneous,standing miscellaneous
029321077.jpg,miscellaneous,standing miscellaneous
032866455.jpg,miscellaneous,standing miscellaneous
067251846.jpg,conditioning exercise,video exercise workouts TV conditioning programs
075237453.jpg,conditioning exercise,video exercise workouts TV conditioning programs
079157904.jpg,conditioning exercise,video exercise workouts TV conditioning programs
078961814.jpg,occupation,tailoring
009120610.jpg,occupation,tailoring
049442030.jpg,,
005755876.jpg,,
054952888.jpg,,
044153050.jpg,occupation,tailoring
088770418.jpg,occupation,tailoring
035091501.jpg,occupation,tailoring
011706702.jpg,occupation,tailoring
014299168.jpg,occupation,tailoring
076151063.jpg,occupation,tailoring
061821806.jpg,sports,racquetball
010112268.jpg,sports,racquetball
008410681.jpg,sports,racquetball
070096913.jpg,sports,racquetball
007276301.jpg,sports,racquetball
082186006.jpg,sports,racquetball
070624223.jpg,sports,racquetball
008134878.jpg,sports,racquetball
008483771.jpg,sports,racquetball
098663958.jpg,sports,racquetball
037427080.jpg,,
037064215.jpg,,
081279957.jpg,home activities,playing with animals
094724858.jpg,home activities,playing with animals
098600106.jpg,home activities,playing with animals
075337819.jpg,home activities,playing with animals
037625959.jpg,home activities,playing with animals
008350072.jpg,home activities,playing with animals
077714692.jpg,home activities,playing with animals
055840425.jpg,home activities,playing with animals
042422201.jpg,home activities,playing with animals
090635439.jpg,home activities,playing with animals
011119748.jpg,home activities,playing with animals
049262510.jpg,winter activities,operating snow blower walking
001135364.jpg,winter activities,operating snow blower walking
046866064.jpg,,
005630328.jpg,,
011881792.jpg,,
011752625.jpg,lawn and garden,digging spading filling garden composting
064921030.jpg,lawn and garden,digging spading filling garden composting
074604488.jpg,lawn and garden,digging spading filling garden composting
058336877.jpg,conditioning exercise,stretching mild
096217255.jpg,conditioning exercise,stretching mild
037487058.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
028571209.jpg,miscellaneous,sitting talking in person on the phone computer or text messaging light effort
086859913.jpg,conditioning exercise,stretching mild
022359584.jpg,conditioning exercise,stretching mild
096322254.jpg,conditioning exercise,stretching mild
001215447.jpg,miscellaneous,sitting writing desk work typing
096987883.jpg,miscellaneous,sitting writing desk work typing
004315991.jpg,,
089114311.jpg,running,running
052770111.jpg,,
099296480.jpg,running,running
007379656.jpg,running,running
055385428.jpg,running,running
096930254.jpg,running,running
052309784.jpg,running,jogging
062939864.jpg,,
069574869.jpg,running,running
045454106.jpg,running,running
062755808.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
058431431.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
090115801.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
004544638.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
028096319.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
095041148.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
089026378.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
045565675.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
062013260.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
027738118.jpg,occupation,skindiving or SCUBA diving as a frogman Navy Seal
018812116.jpg,,
046369840.jpg,,
035335223.jpg,self care,eating sitting
058365611.jpg,religious activities,serving food in church
007773464.jpg,religious activities,serving food in church
097439481.jpg,sports,horseback riding
098621074.jpg,sports,horseback riding
069816171.jpg,sports,track and field
053609637.jpg,sports,track and field
030952762.jpg,sports,track and field
081379502.jpg,sports,track and field
068473117.jpg,sports,track and field
016261694.jpg,sports,horseback riding
091092718.jpg,sports,horseback riding
082253724.jpg,sports,horseback riding
094979991.jpg,sports,horseback riding
072571951.jpg,sports,horseback riding
061341520.jpg,sports,horseback riding
041824304.jpg,sports,horseback riding
093272848.jpg,sports,horseback riding
086606389.jpg,sports,horseback riding
004521867.jpg,sports,horseback riding
002636697.jpg,sports,horseback riding
037646337.jpg,sports,horseback riding
081055333.jpg,sports,horseback riding
098727613.jpg,sports,track and field
015041689.jpg,sports,track and field
059413072.jpg,,
038089086.jpg,,
096991440.jpg,sports,juggling
084211892.jpg,sports,juggling
083832870.jpg,,
046869316.jpg,,
041481950.jpg,sports,juggling
027340707.jpg,sports,juggling
005637550.jpg,sports,juggling
086472238.jpg,sports,juggling
081290101.jpg,sports,juggling
099971767.jpg,sports,racquetball
099663684.jpg,sports,racquetball
055543171.jpg,sports,racquetball
076898742.jpg,,
094476573.jpg,,
084964739.jpg,,
024734810.jpg,,
045054414.jpg,,
012915942.jpg,sports,racquetball
095405103.jpg,sports,racquetball
060617463.jpg,sports,racquetball
022864281.jpg,sports,racquetball
067170068.jpg,sports,racquetball
061812824.jpg,sports,racquetball
035816272.jpg,sports,racquetball
011355759.jpg,,
067157320.jpg,,
052030770.jpg,,
077231839.jpg,sports,racquetball
052016350.jpg,sports,racquetball
085218150.jpg,sports,racquetball
055190684.jpg,sports,racquetball
056093797.jpg,sports,racquetball
087665360.jpg,sports,racquetball
040348287.jpg,sports,racquetball
013401523.jpg,sports,racquetball
002878268.jpg,sports,racquetball
075513726.jpg,home activities,elder care
062030955.jpg,home activities,elder care
070407977.jpg,,
021296416.jpg,home activities,elder care
013637148.jpg,home activities,elder care
001454467.jpg,home activities,elder care
035058756.jpg,home activities,elder care
058991769.jpg,home activities,elder care
039224405.jpg,home activities,elder care
043747492.jpg,home activities,elder care
090415869.jpg,,
034825547.jpg,,
051398949.jpg,lawn and garden,planting potting transplanting seedlings or plants light effort
078365301.jpg,lawn and garden,planting potting transplanting seedlings or plants light effort
039654278.jpg,lawn and garden,irrigation channels opening and closing ports
062208670.jpg,lawn and garden,planting seedlings shrub stooping moderate effort
086236371.jpg,lawn and garden,planting seedlings shrub stooping moderate effort
094952062.jpg,lawn and garden,planting seedlings shrub stooping moderate effort
014707348.jpg,lawn and garden,planting seedlings shrub stooping moderate effort
092658763.jpg,,
049211629.jpg,,
025824439.jpg,lawn and garden,irrigation channels opening and closing ports
045913576.jpg,lawn and garden,irrigation channels opening and closing ports
098003258.jpg,,
049261809.jpg,,
032875161.jpg,,
063340085.jpg,,
024014562.jpg,,
007586333.jpg,fishing and hunting,fishing ice sitting
012887972.jpg,fishing and hunting,fishing ice sitting
012804584.jpg,fishing and hunting,fishing ice sitting
015190269.jpg,fishing and hunting,fishing ice sitting
013882717.jpg,fishing and hunting,fishing ice sitting
064087474.jpg,fishing and hunting,fishing ice sitting
018188008.jpg,fishing and hunting,fishing ice sitting
034566728.jpg,home activities,tanning hides general
089678841.jpg,home activities,tanning hides general
047396164.jpg,home activities,tanning hides general
066755774.jpg,home activities,tanning hides general
017231987.jpg,home activities,tanning hides general
019228902.jpg,home activities,tanning hides general
004086862.jpg,home activities,tanning hides general
016893506.jpg,home activities,tanning hides general
027859034.jpg,home activities,tanning hides general
017701048.jpg,home activities,tanning hides general
008870253.jpg,,
012063587.jpg,,
046077877.jpg,,
020633372.jpg,,
036426986.jpg,,
050341727.jpg,home activities,tanning hides general
069039483.jpg,home activities,tanning hides general
003931214.jpg,home activities,tanning hides general
079941040.jpg,home activities,tanning hides general
062790039.jpg,home activities,tanning hides general
008175903.jpg,,
087357862.jpg,,
092087240.jpg,,
006107796.jpg,home activities,tanning hides general
027687765.jpg,home activities,tanning hides general
080620128.jpg,home activities,tanning hides general
074825969.jpg,home activities,tanning hides general
018452102.jpg,home repair,painting outside home (Taylor Code 650)
020934932.jpg,volunteer activities,sitting doing work
037047210.jpg,miscellaneous,drawing writing painting standing
048452299.jpg,inactivity quiet/light,sitting quietly
061825477.jpg,,
036891364.jpg,,
046253472.jpg,,
074747094.jpg,,
003668320.jpg,,
025243694.jpg,,
071334959.jpg,,
089520684.jpg,self care,eating sitting
051167744.jpg,,
053211349.jpg,,
010717201.jpg,winter activities,skiing downhill
044741237.jpg,winter activities,skiing climbing up
053261727.jpg,,
024247050.jpg,,
026924323.jpg,music playing,playing musical instruments general
037728416.jpg,music playing,playing musical instruments general
002007120.jpg,,
032207917.jpg,,
021144801.jpg,music playing,playing musical instruments general
032749735.jpg,music playing,playing musical instruments general
011976213.jpg,music playing,playing musical instruments general
089052728.jpg,music playing,playing musical instruments general
059359245.jpg,conditioning exercise,bicycling stationary
067910232.jpg,conditioning exercise,bicycling stationary
078917124.jpg,conditioning exercise,bicycling stationary
049844220.jpg,conditioning exercise,bicycling stationary
008692029.jpg,conditioning exercise,bicycling stationary
053710654.jpg,conditioning exercise,bicycling stationary
058684112.jpg,,
074543947.jpg,lawn and garden,mowing lawn walk hand mower (Taylor Code 570)
043165955.jpg,lawn and garden,yard work general
012758030.jpg,lawn and garden,mowing lawn walk hand mower (Taylor Code 570)
028377591.jpg,lawn and garden,yard work general
036308230.jpg,walking,walking general
064591724.jpg,,
057077830.jpg,home repair,washing and waxing hull of sailboat or airplane
035609673.jpg,home repair,washing and waxing hull of sailboat or airplane
098651525.jpg,home repair,washing and waxing hull of sailboat or airplane
060577482.jpg,home repair,washing and waxing hull of sailboat or airplane
023722679.jpg,home repair,washing and waxing hull of sailboat or airplane
010178247.jpg,home repair,washing and waxing hull of sailboat or airplane
015285914.jpg,home repair,washing and waxing hull of sailboat or airplane
024595773.jpg,home repair,washing and waxing hull of sailboat or airplane
016068137.jpg,home repair,washing and waxing hull of sailboat or airplane
018656702.jpg,home repair,washing and waxing hull of sailboat or airplane
028509517.jpg,home repair,washing and waxing hull of sailboat or airplane
017337360.jpg,home repair,washing and waxing hull of sailboat or airplane
089676542.jpg,home repair,washing and waxing hull of sailboat or airplane
008023375.jpg,home repair,washing and waxing hull of sailboat or airplane
052451139.jpg,,
041039683.jpg,,
098237862.jpg,,
011203890.jpg,,
039785560.jpg,,
096947043.jpg,transportation,pushing car
086550713.jpg,transportation,pushing car
081707207.jpg,transportation,pushing car
025790283.jpg,occupation,moving carrying or pushing heavy objects 75 lbs or more only active time (e.g. desks moving van
017088759.jpg,occupation,moving carrying or pushing heavy objects 75 lbs or more only active time (e.g. desks moving van
066864322.jpg,occupation,moving carrying or pushing heavy objects 75 lbs or more only active time (e.g. desks moving van
